

Results from heasarc_hipparcos: Hipparcos Main Catalog
Coordinate system:  Equatorial
|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |hd_id |
|  -50.65|   20.00|     72105| 2.35|221.24687869|+27.07417383|129988|
|   30.02|    1.38|    107315| 2.38|326.04641808|+09.87500791|206778|
|   -6.49|  -25.55|     86670| 2.39|265.62199908|-39.02992092|160578|
|  232.76| -353.64|      2081| 2.40|006.57028075|-42.30512197|  2261|
|  107.76|   11.16|     58001| 2.41|178.45725536|+53.69473296|103287|
|   41.16|   97.65|     84012| 2.43|257.59442659|-15.72514757|155125|
|  187.76|  137.61|    113881| 2.44|345.94305575|+28.08245462|217906|
|   -3.76|    6.66|     35904| 2.45|111.02377104|-29.30311979| 58350|
|  149.91|   48.27|    105199| 2.45|319.64408982|+62.58545529|203280|
|  -10.72|   11.24|     45941| 2.47|140.52845511|-55.01069531| 81188|
|  356.16|  330.28|    102488| 2.48|311.55180091|+33.96945334|197989|
|   61.10|  -42.56|    113963| 2.49|346.19007020|+15.20536786|218045|
|   13.07|   25.44|     81377| 2.54|249.28970847|-10.56715180|149757|
|  -11.81|  -78.76|     14135| 2.54|045.56991279|+04.08992539| 18884|
|  -57.14|  -44.75|     68002| 2.55|208.88514539|-47.28826634|121263|
|  143.31| -130.43|     54872| 2.56|168.52671705|+20.52403384| 97603|
|   -6.75|  -24.89|     78820| 2.56|241.35931206|-19.80539286|144217|
|    3.27|    1.54|     25985| 2.58|083.18255798|-17.82229227| 36673|
|  -47.53|   -6.42|     59196| 2.58|182.08976505|-50.72240999|105435|
| -159.58|   22.31|     59803| 2.58|183.95194937|-17.54198370|106625|
|  -14.10|    3.66|     93506| 2.60|285.65301428|-29.88011429|176687|
|  -96.39|  -20.76|     74785| 2.61|229.25196591|-09.38286694|135742|
|  134.66|   44.14|     77070| 2.63|236.06664914|+06.42551971|140573|
|   96.32| -108.80|      8903| 2.64|028.65978771|+20.80829949| 11636|
|    0.86|  -56.00|     61359| 2.65|188.59680864|-23.39662306|109379|
|   -0.10|  -24.05|     26634| 2.65|084.91224975|-34.07404941| 37795|
|   42.09|  -73.61|     28380| 2.65|089.93015897|+37.21276409| 40312|
|  297.24|  -49.49|      6686| 2.66|021.45251267|+60.23540347|  8538|
|  -60.95| -358.10|     67927| 2.68|208.67131750|+18.39858742|121370|
|  -34.06|  -38.30|     73273| 2.68|224.63314193|-43.13386699|132058|
|    3.63|  -18.54|     23015| 2.69|074.24840098|+33.16613537| 31398|
|  -39.87|  -12.44|     61585| 2.69|189.29618208|-69.13553358|109668|
|   62.55|  -53.57|     52727| 2.69|161.69217542|-49.42012517| 93497|
|   -4.19|  -29.14|     85696| 2.70|262.69099501|-37.29574016|158408|
|  -10.57|    7.00|     35264| 2.71|109.28568399|-37.09748689| 56855|
|   15.72|   -3.08|     97278| 2.72|296.56487567|+10.61326869|186791|
|   29.96|  -26.38|     89931| 2.72|275.24842337|-29.82803914|168454|
|  -45.83| -142.91|     79593| 2.73|243.58652601|-03.69397562|146051|
|  -16.98|   56.68|     80331| 2.73|245.99794523|+61.51407536|148387|
| -616.66|   60.66|     61941| 2.74|190.41667557|-01.44952231|110379|
|  -18.87|   12.06|     52419| 2.74|160.73927802|-64.39447937| 93030|
| -340.76|  -87.98|     65109| 2.75|200.15027321|-36.71208109|115892|
| -105.69|  -69.00|     72622| 2.75|222.71990536|-16.04161047|130841|
|    2.27|   -0.62|     26241| 2.75|083.85825475|-05.90989984| 37043|
|  -40.67|  158.80|     86742| 2.76|265.86823714|+04.56691684|161096|
|  -98.43|  -14.49|     80816| 2.78|247.55525697|+21.48964850|148856|
|  -83.39|  -75.44|     23875| 2.78|076.96264146|-05.08626282| 33111|
|   -6.71|   32.78|     84345| 2.78|258.66192687|+14.39025314|156014|
|  -15.59|   11.57|     85670| 2.79|262.60823708|+52.30135901|159181|
|  -36.68|  -10.72|     59747| 2.79|183.78648733|-58.74890179|106490|
|  -16.05|  -25.52|     76297| 2.80|233.78525156|-41.16669497|138690|
|   -5.03|  -85.92|     25606| 2.81|082.06135971|-20.75923214| 36079|
| -462.58|  345.05|     81693| 2.81|250.32282132|+31.60188695|150680|
|   -8.59|  -22.50|     81266| 2.82|248.97066423|-28.21596156|149438|
| 2220.12|  324.37|      2021| 2.82|006.41334183|-77.25503511|  2151|
|  -44.81| -186.29|     90496| 2.82|276.99278955|-25.42124732|169916|
|    4.70|   -8.24|      1067| 2.83|003.30895828|+15.18361593|   886|
|  -83.29|   46.38|     39757| 2.83|121.88625899|-24.30443677| 67523|
| -188.45| -401.92|     77952| 2.83|238.78670013|-63.42974973|141891|
|  -31.27|  -67.15|     85792| 2.84|262.96050661|-49.87598159|158427|
|   -8.23|  -24.71|     85258| 2.84|261.32498828|-55.52982397|157244|
|    4.41|   -9.15|     18246| 2.84|058.53299363|+31.88365776| 24398|
| -275.05|   19.96|     63608| 2.85|195.54483557|+10.95910186|113226|
|  263.26| -296.23|    107556| 2.85|326.75952199|-16.12656595|207098|
|   19.35|  -43.11|     17702| 2.85|056.87110065|+24.10524193| 23630|
|  262.54|   26.88|      9236| 2.86|029.69113269|-61.56992444| 12311|
|   43.22|   48.44|     97165| 2.86|296.24350878|+45.13069195|186882|
|  -71.48|  -38.15|    110130| 2.87|334.62574257|-60.25949486|211416|
|   56.84| -108.79|     30343| 2.87|095.73996302|+22.51385027| 44478|
|  -66.48|  -32.00|     74946| 2.87|229.72787007|-68.67946723|135382|
|  -53.53|   25.71|     13847| 2.88|044.56548180|-40.30473491| 18622|
|   -1.17|  -36.83|     94141| 2.88|287.44097404|-21.02352534|178524|
|  -12.00|  -25.71|     78265| 2.89|239.71300283|-26.11404280|143018|
| -233.43|   54.98|     63125| 2.89|194.00767051|+38.31824617|112413|
|  -50.28|  -38.45|     36188| 2.89|111.78780121|+08.28940893| 58715|
|   12.61|  -24.06|     18532| 2.90|059.46342138|+40.01027315| 24760|
|  -10.03|  -18.03|     80112| 2.90|245.29717718|-25.59275259|147165|
|   22.79|   -6.70|    106278| 2.90|322.88966951|-05.57115593|204867|
|    0.50|   -4.19|     14328| 2.91|046.19912598|+53.50645031| 18925|
|  -11.55|    4.97|     48002| 2.92|146.77557340|-65.07201888| 85123|
|   13.11|  -26.11|    112158| 2.93|340.75053573|+30.22130866|215182|
| -209.97| -139.30|     60965| 2.94|187.46659650|-16.51509397|108767|
|   34.23|  -65.85|     32768| 2.94|102.48390349|-50.61439973| 50310|
|   17.90|   -9.93|    109074| 2.95|331.44593869|-00.31982656|209750|
|  -46.09|   -9.57|     47908| 2.97|146.46292670|+23.77427792| 84441|
|    2.39|  -18.04|     26451| 2.97|084.41118447|+21.14259299| 37202|
|   60.51| -111.34|     18543| 2.97|059.50720862|-13.50824471| 25025|
|  -55.75| -181.53|     88635| 2.98|271.45218586|-30.42365007|165135|
|   68.41|  -41.09|     64962| 2.99|199.73022240|-23.17141246|115659|
|    0.44|   -6.40|     87073| 2.99|266.89617137|-40.12698197|161471|
|   -7.04|  -95.31|     93747| 2.99|286.35255180|+13.86370983|177724|
|   95.88|  -12.10|    108085| 3.00|328.48189202|-37.36482290|207971|
|  -62.35|  -27.38|     54539| 3.00|167.41608092|+44.49855337| 96833|
|  -18.03|   17.68|     75097| 3.00|230.18228840|+71.83397308|137422|
|   -8.84|  -21.60|     82514| 3.00|252.96766195|-38.04732717|151890|
|  148.78|  -39.13|     10064| 3.00|032.38550383|+34.98739204| 13161|
|   23.83|  -41.93|     17358| 3.01|055.73117540|+47.78765330| 22928|
|    8.00|    3.81|     30122| 3.02|095.07827982|-30.06337656| 44402|
|   -1.56|    4.28|     33977| 3.02|105.75613986|-23.83330131| 53138|
|  -71.52|   10.55|     59316| 3.02|182.53135773|-22.61979211|105707|
|    0.18|   -2.31|     23416| 3.03|075.49222507|+43.82331397| 31964|
| -115.55|  151.87|     71075| 3.04|218.01982421|+38.30788348|127762|
|  -40.40|  -10.32|     62322| 3.04|191.57029013|-68.10809405|110879|
|   -7.09|   -5.63|     95947| 3.05|292.68035529|+27.95969480|183912|
|   48.42|   14.00|    100345| 3.05|305.25269347|-14.78140119|193495|
|   -5.93|  -12.81|     32246| 3.06|100.98304088|+25.13115531| 48329|
|  -80.47|   34.10|     50801| 3.06|155.58251355|+41.49943350| 89758|
|   94.49|   92.30|     94376| 3.07|288.13814581|+67.66131695|180711|
| -129.27| -166.61|     89642| 3.10|274.40720490|-36.76128103|167618|
|   49.20|   66.07|    101772| 3.11|309.39162365|-47.29166239|196171|
|  -99.76|   14.65|     43813| 3.11|133.84868687|+05.94552770| 76294|
|  -33.84|   -6.87|     56561| 3.11|173.94553448|-63.01982488|100841|
|   92.77|  199.02|     52943| 3.11|162.40596699|-16.19413208| 93813|
|  -21.14| -157.68|     84379| 3.12|258.75801735|+24.83958739|156164|
| -441.12| -215.21|     44127| 3.12|134.80349479|+48.04234956| 76644|
|  -18.31|  -35.29|     83081| 3.12|254.65512817|-55.99005508|152786|
|   55.74|  404.68|     27628| 3.12|087.73980340|-35.76929225| 39425|
|  -17.76|  -21.33|     73334| 3.13|224.79041254|-42.10414199|132200|
| -222.80|   14.78|     45860| 3.14|140.26441169|+34.39252592| 80493|
|  -27.35|    2.70|     84380| 3.16|258.76189282|+36.80915527|156283|
|  -32.58|    6.08|     46701| 3.16|142.80564072|-57.03439160| 82668|
|   -0.43|   -3.99|     31685| 3.17|099.44029869|-43.19592394| 47670|
|  -20.76|   19.15|     83895| 3.17|257.19677111|+65.71463676|155763|
|   51.15|    0.45|     92041| 3.17|281.41397083|-26.99077940|173300|
| -947.06| -535.60|     46853| 3.17|143.21802191|+51.67860208| 82328|
|   30.60|  -68.41|     23767| 3.18|076.62862102|+41.23464074| 32630|
| -192.64| -234.07|     71908| 3.18|220.62785433|-64.97456957|128898|
| -293.03|   -9.70|     83000| 3.19|254.41779418|+09.37505626|153210|
|  463.44|   11.62|     22449| 3.19|072.45890935|+06.96124744| 30652|
|   42.09|   27.77|     87261| 3.19|267.46438020|-37.04337105|161892|
|   19.27|  -72.35|     23685| 3.19|076.36521705|-22.37085673| 32887|
|    6.87|  -68.12|    104732| 3.21|318.23408977|+30.22708128|202109|
|  -48.85|  127.18|    116727| 3.21|354.83742516|+77.63196681|222404|
|  -19.11|  -24.05|     75141| 3.22|230.34306833|-40.64745946|136298|
|   82.39|   40.08|     79882| 3.23|244.58016994|-04.69260809|146791|
| -547.57| -700.72|     89962| 3.23|275.32883578|-02.89712200|168723|
|   12.60|    8.73|    106032| 3.23|322.16489595|+70.56069481|205021|
|  -68.39|  242.03|     32607| 3.24|102.04807134|-61.94197988| 50241|
|   35.48|    6.05|     99473| 3.24|302.82610327|-00.82147569|191692|
|   43.05| -140.82|     68895| 3.25|211.59278733|-26.68201883|123123|
|  -59.86|  188.73|     36377| 3.25|112.30782630|-43.30189129| 59717|
|   -2.76|    1.77|     93194| 3.25|284.73593568|+32.68955312|176437|
|  -71.85|  -44.69|     73714| 3.25|226.01775793|-25.28185602|133216|
|   51.07|  115.27|     17678| 3.26|056.80929799|-74.23924251| 24512|
|  115.38|  -83.05|      3092| 3.27|009.83165567|+30.86122579|  3627|
|  -44.08|  -24.81|    113136| 3.27|343.66266350|-15.82075994|216627|
|   -8.84|  -23.64|     84970| 3.27|260.50243371|-24.99948797|157056|
|   -8.27|   17.30|     75458| 3.29|231.23243370|+58.96602354|137759|
|  -35.73|    7.55|     50099| 3.29|153.43449551|-70.03792169| 89080|
|   45.66|  -16.13|     24305| 3.29|078.23280460|-16.20542901| 33904|
|   58.06|   12.73|     21281| 3.30|068.49882684|-55.04500559| 29305|
|  -16.59|   11.42|     51576| 3.30|158.00618250|-61.68536031| 91465|
|  -62.53|  -10.24|     29655| 3.31|093.71956952|+22.50682376| 42995|
|   -0.77|  -15.85|     85267| 3.31|261.34858274|-56.37768824|157246|
|  -10.31| -116.12|     88048| 3.32|269.75665662|-09.77334973|163917|
|  -70.16|   31.60|      5165| 3.32|016.52127713|-46.71849042|  6595|
|  128.69| -106.61|     14354| 3.32|046.29373754|+38.84053298| 19058|
|  -50.79| -250.51|     93864| 3.32|286.73517629|-27.66981416|177716|
|   22.01| -287.41|     84143| 3.32|258.03823300|-43.23849039|155203|
|  103.56|    7.81|     59774| 3.32|183.85603795|+57.03259792|106591|
|   41.64|   49.72|     19780| 3.33|063.60596306|-62.47397888| 27256|
|  -59.01|  -79.37|     54879| 3.33|168.56017036|+15.42976310| 97633|
|   -5.56|   -0.71|     38170| 3.34|117.32357809|-24.85978401| 63700|
| -115.16| -190.91|     32362| 3.35|101.32263980|+12.89605513| 48737|
|   -0.54|   -3.21|     25281| 3.35|081.11923774|-02.39713844| 35411|
| -134.31| -107.73|     41704| 3.35|127.56679232|+60.71843110| 71369|
|   31.98|  -18.66|      8886| 3.35|028.59868107|+63.67014686| 11415|
|  253.06|   80.67|     95501| 3.36|291.37396941|+03.11457923|182640|
|  -20.25|  -20.13|     75264| 3.37|230.67036465|-44.68957314|136504|
| -278.89|   48.56|     66249| 3.38|203.67397800|-00.59593821|118098|
| -231.04|  -40.17|     43109| 3.38|131.69435930|+06.41890691| 74874|
|   13.35|    4.49|    109492| 3.39|332.71359131|+58.20124992|210745|
| -471.44|  -52.81|     63090| 3.39|193.90201366|+03.39759862|112300|
|  -24.25|    6.38|     50371| 3.39|154.27085535|-61.33231977| 89388|
